No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
58,60.0,78.0,33.0,60.0,1500.0,16.0,3.4,1012.5,-12.6,0.0,SSE,0.8,Dingling,2013-03-03 09:00:00
59,73.0,87.0,41.0,61.0,1200.0,24.0,6.5,1011.4,-12.2,0.0,SE,2.1,Dingling,2013-03-03 10:00:00
60,76.0,101.0,49.0,64.0,1200.0,27.0,9.0,1010.4,-11.6,0.0,ESE,1.4,Dingling,2013-03-03 11:00:00
61,75.0,102.0,64.0,75.0,1500.0,27.0,12.2,1009.1,-13.7,0.0,SE,1.8,Dingling,2013-03-03 12:00:00
62,92.0,147.0,51.0,58.0,1100.0,38.0,15.6,1007.5,-13.8,0.0,NW,5.4,Dingling,2013-03-03 13:00:00
63,79.0,147.0,23.0,27.0,600.0,65.0,16.6,1006.9,-14.1,0.0,NW,5.3,Dingling,2013-03-03 14:00:00
64,44.0,105.0,4.0,3.0,200.0,86.0,17.0,1006.8,-14.9,0.0,NW,2.3,Dingling,2013-03-03 15:00:00
65,14.0,43.0,3.0,2.75,200.0,88.0,16.1,1006.9,-14.4,0.0,ENE,0.7,Dingling,2013-03-03 16:00:00
66,5.0,29.0,3.0,2.5,200.0,87.0,13.9,1007.6,-14.1,0.0,SSE,0.6,Dingling,2013-03-03 17:00:00
67,3.0,32.0,3.0,2.25,200.0,84.0,12.4,1009.0,-14.4,0.0,E,0.8,Dingling,2013-03-03 18:00:00
68,11.0,46.0,3.0,2.0,200.0,83.0,8.9,1010.0,-13.5,0.0,NW,0.9,Dingling,2013-03-03 19:00:00
69,5.0,42.0,3.0,2.0,200.0,82.0,7.7,1010.1,-12.2,0.0,ENE,0.5,Dingling,2013-03-03 20:00:00
70,12.0,34.0,3.0,2.0,200.0,79.0,6.9,1010.6,-12.3,0.0,N,0.7,Dingling,2013-03-03 21:00:00
71,4.0,31.0,7.0,8.0,500.0,61.0,6.8,1011.2,-11.9,0.0,NE,1.5,Dingling,2013-03-03 22:00:00
72,14.0,38.0,4.0,4.0,300.0,68.0,8.6,1012.1,-11.4,0.0,NE,2.0,Dingling,2013-03-03 23:00:00
73,13.0,34.0,3.0,4.0,200.0,76.0,9.2,1013.2,-12.6,0.0,ENE,2.4,Dingling,2013-03-04 00:00:00
74,10.0,36.0,3.0,4.0,200.0,80.0,7.3,1014.2,-12.5,0.0,NE,2.1,Dingling,2013-03-04 01:00:00
75,8.0,28.0,3.0,4.0,200.0,81.0,6.1,1014.4,-13.5,0.0,NW,1.4,Dingling,2013-03-04 02:00:00
76,5.0,19.0,3.0,4.0,200.0,84.0,6.6,1014.2,-14.8,0.0,N,4.0,Dingling,2013-03-04 03:00:00
77,11.0,4.0,3.0,4.0,200.0,86.0,4.8,1014.6,-12.2,0.0,NW,2.6,Dingling,2013-03-04 04:00:00
78,5.0,3.5,3.0,4.0,200.0,87.0,5.4,1015.4,-12.1,0.0,NW,4.7,Dingling,2013-03-04 05:00:00
79,8.0,3.0,3.0,4.0,200.0,79.0,4.2,1016.1,-12.3,0.0,N,3.0,Dingling,2013-03-04 06:00:00
80,7.0,19.0,8.0,7.0,300.0,71.0,6.3,1016.8,-12.3,0.0,N,0.8,Dingling,2013-03-04 07:00:00
81,4.0,15.0,10.0,8.0,300.0,69.0,8.9,1017.4,-12.9,0.0,ENE,1.6,Dingling,2013-03-04 08:00:00
82,5.0,16.0,13.0,8.0,300.0,70.0,10.2,1017.6,-13.8,0.0,NW,3.8,Dingling,2013-03-04 09:00:00
83,8.0,17.0,13.0,7.0,300.0,74.0,11.4,1017.1,-14.4,0.0,NNW,4.2,Dingling,2013-03-04 10:00:00
84,7.0,11.0,6.0,4.0,300.0,80.0,12.7,1016.6,-15.1,0.0,NNW,4.4,Dingling,2013-03-04 11:00:00
85,5.0,6.0,5.0,3.0,200.0,84.0,14.6,1015.4,-14.6,0.0,NNW,3.5,Dingling,2013-03-04 12:00:00
86,10.0,7.0,6.0,4.0,300.0,86.0,15.1,1014.2,-15.2,0.0,NNW,3.4,Dingling,2013-03-04 13:00:00
87,13.0,11.0,10.0,6.0,300.0,88.0,16.1,1013.1,-16.9,0.0,NW,3.0,Dingling,2013-03-04 14:00:00
88,16.0,18.0,9.0,6.0,300.0,91.0,16.1,1012.5,-16.9,0.0,NW,2.3,Dingling,2013-03-04 15:00:00
89,18.0,20.0,6.0,6.0,300.0,90.0,14.8,1012.0,-14.4,0.0,SSW,3.3,Dingling,2013-03-04 16:00:00
90,18.0,16.0,5.0,5.0,300.0,92.0,12.9,1012.4,-14.0,0.0,SSW,2.6,Dingling,2013-03-04 17:00:00
91,10.0,10.0,12.0,30.0,600.0,79.0,11.3,1012.7,-13.7,0.0,SSW,1.2,Dingling,2013-03-04 18:00:00
92,39.0,80.0,19.0,46.0,800.0,63.0,8.7,1013.2,-12.5,0.0,ENE,0.5,Dingling,2013-03-04 19:00:00
93,41.0,80.0,18.0,44.0,900.0,49.0,5.9,1013.4,-11.7,0.0,ENE,0.2,Dingling,2013-03-04 20:00:00
94,60.0,74.0,18.0,38.0,800.0,50.0,4.9,1013.4,-11.7,0.0,ESE,0.8,Dingling,2013-03-04 21:00:00
95,50.0,71.0,22.0,38.0,1000.0,45.0,4.0,1013.2,-11.6,0.0,E,0.6,Dingling,2013-03-04 22:00:00
96,50.0,70.0,19.0,33.0,900.0,92.0,4.2,1012.6,-11.5,0.0,ESE,0.8,Dingling,2013-03-04 23:00:00
97,52.0,64.0,18.0,30.0,800.0,92.0,2.8,1012.1,-11.2,0.0,ENE,0.4,Dingling,2013-03-05 00:00:00
98,56.0,58.0,14.0,25.0,800.0,92.0,1.8,1011.7,-11.0,0.0,NNE,0.6,Dingling,2013-03-05 01:00:00
99,50.0,54.0,16.0,26.0,700.0,92.0,0.8,1011.4,-10.7,0.0,N,0.6,Dingling,2013-03-05 02:00:00
100,88.0,54.0,16.0,30.0,800.0,92.0,0.2,1011.0,-10.4,0.0,N,0.2,Dingling,2013-03-05 03:00:00
101,53.0,57.0,15.0,30.0,800.0,92.0,-0.1,1010.7,-10.1,0.0,N,0.8,Dingling,2013-03-05 04:00:00
102,46.0,55.0,13.0,23.0,700.0,92.0,-0.4,1010.9,-9.6,0.0,NNE,0.0,Dingling,2013-03-05 05:00:00
103,43.0,50.0,15.0,26.0,600.0,92.0,-1.0,1010.6,-9.4,0.0,NE,0.8,Dingling,2013-03-05 06:00:00
104,47.0,57.0,17.0,38.0,700.0,92.0,1.2,1010.4,-9.4,0.0,NE,0.0,Dingling,2013-03-05 07:00:00
105,52.0,64.0,16.0,33.0,700.0,92.0,6.0,1010.1,-10.7,0.0,SW,0.8,Dingling,2013-03-05 08:00:00
106,52.0,72.0,23.0,30.0,800.0,92.0,7.8,1009.5,-10.6,0.0,SW,1.0,Dingling,2013-03-05 09:00:00
107,69.0,90.0,30.0,46.0,1000.0,92.0,9.3,1008.7,-9.3,0.0,ESE,1.4,Dingling,2013-03-05 10:00:00
108,79.0,95.0,51.0,76.0,1300.0,92.0,11.0,1007.8,-9.4,0.0,SW,1.9,Dingling,2013-03-05 11:00:00
109,102.0,138.0,74.0,100.0,1600.0,30.0,12.1,1006.5,-9.0,0.0,ENE,0.4,Dingling,2013-03-05 12:00:00
110,126.0,164.0,55.0,70.0,1300.0,92.0,13.2,1005.1,-8.1,0.0,SSW,0.9,Dingling,2013-03-05 13:00:00
111,131.0,150.0,50.0,61.0,1200.0,92.0,14.1,1004.3,-8.6,0.0,SE,1.7,Dingling,2013-03-05 14:00:00
112,139.0,142.0,59.0,64.0,1399.0,92.0,13.5,1004.1,-8.4,0.0,SE,0.8,Dingling,2013-03-05 15:00:00
113,152.0,173.0,58.0,79.0,1399.0,92.0,13.3,1003.9,-8.0,0.0,ESE,1.1,Dingling,2013-03-05 16:00:00
114,154.0,181.0,62.0,99.0,1600.0,82.0,12.4,1004.5,-8.2,0.0,ESE,1.0,Dingling,2013-03-05 17:00:00
115,165.0,194.0,59.0,100.0,1600.0,82.0,8.9,1005.0,-7.8,0.0,NE,0.8,Dingling,2013-03-05 18:00:00
116,179.0,200.0,50.0,96.0,1600.0,82.0,7.7,1005.4,-7.6,0.0,NNE,0.2,Dingling,2013-03-05 19:00:00
117,172.0,180.0,43.0,94.0,1899.0,82.0,6.3,1005.9,-7.3,0.0,NNE,0.7,Dingling,2013-03-05 20:00:00
118,179.0,191.0,38.0,80.0,1700.0,82.0,5.6,1006.0,-7.3,0.0,NNE,0.2,Dingling,2013-03-05 21:00:00
119,173.0,168.0,39.0,73.0,1800.0,82.0,4.9,1005.8,-7.0,0.0,N,1.7,Dingling,2013-03-05 22:00:00
120,170.0,162.0,42.0,72.0,1700.0,82.0,3.7,1005.7,-6.9,0.0,NE,0.4,Dingling,2013-03-05 23:00:00
121,166.0,153.0,40.0,66.0,1800.0,82.0,3.9,1005.4,-6.7,0.0,N,2.0,Dingling,2013-03-06 00:00:00
122,173.0,154.0,38.0,58.0,1500.0,82.0,3.9,1005.3,-6.4,0.0,NE,0.8,Dingling,2013-03-06 01:00:00
123,161.0,140.0,41.0,61.0,1600.0,82.0,3.5,1004.8,-6.5,0.0,N,0.7,Dingling,2013-03-06 02:00:00
124,161.0,143.0,47.0,68.0,1600.0,82.0,3.7,1004.7,-6.3,0.0,N,1.3,Dingling,2013-03-06 03:00:00
125,163.0,150.0,49.0,69.0,1600.0,82.0,2.4,1004.7,-6.2,0.0,N,1.0,Dingling,2013-03-06 04:00:00
126,166.0,155.0,52.0,62.0,1600.0,82.0,2.1,1004.9,-5.8,0.0,N,0.9,Dingling,2013-03-06 05:00:00
127,172.0,164.0,51.0,55.0,1600.0,82.0,3.1,1005.1,-5.6,0.0,N,0.2,Dingling,2013-03-06 06:00:00
128,176.0,173.0,66.0,61.0,1700.0,82.0,4.7,1006.2,-4.9,0.0,ESE,0.6,Dingling,2013-03-06 07:00:00
129,183.0,178.0,66.0,61.0,1700.0,82.0,5.5,1006.2,-4.1,0.0,SW,0.5,Dingling,2013-03-06 08:00:00
130,195.0,201.0,61.0,66.0,1899.0,82.0,7.2,1006.1,-5.5,0.0,W,0.5,Dingling,2013-03-06 09:00:00
131,200.0,206.0,68.0,71.0,2000.0,82.0,8.8,1005.8,-5.5,0.0,NNW,0.7,Dingling,2013-03-06 10:00:00
132,217.0,218.0,93.0,106.0,2500.0,82.0,10.6,1004.6,-5.0,0.0,N,0.9,Dingling,2013-03-06 11:00:00
133,268.0,278.0,93.0,116.0,2500.0,82.0,12.4,1003.4,-4.7,0.0,NW,0.8,Dingling,2013-03-06 12:00:00
134,258.0,274.0,89.0,100.0,2100.0,82.0,13.4,1002.5,-4.3,0.0,SE,1.2,Dingling,2013-03-06 13:00:00
135,221.0,217.0,98.0,82.0,1800.0,82.0,13.6,1001.8,-4.1,0.0,S,2.3,Dingling,2013-03-06 14:00:00
136,195.0,222.0,95.0,139.0,3000.0,75.0,13.6,1001.9,-3.7,0.0,ESE,2.2,Dingling,2013-03-06 15:00:00
137,294.0,351.0,88.0,139.0,2700.0,69.0,13.3,1002.2,-3.9,0.0,ESE,1.6,Dingling,2013-03-06 16:00:00
138,288.0,330.0,84.0,118.0,2399.0,69.0,12.0,1002.7,-3.8,0.0,SE,1.3,Dingling,2013-03-06 17:00:00
139,267.0,288.0,90.0,116.0,2299.0,52.0,10.6,1003.7,-3.9,0.0,SSW,1.2,Dingling,2013-03-06 18:00:00
140,269.0,274.0,87.0,139.0,2500.0,52.0,7.1,1004.5,-3.5,0.0,NNW,1.4,Dingling,2013-03-06 19:00:00
141,280.0,284.0,78.0,141.0,3299.0,52.0,6.2,1004.9,-3.5,0.0,SE,0.7,Dingling,2013-03-06 20:00:00
142,306.0,317.0,83.0,144.0,3100.0,52.0,5.5,1004.5,-3.6,0.0,ENE,0.6,Dingling,2013-03-06 21:00:00
143,284.0,285.0,76.0,140.0,2700.0,52.0,4.7,1004.3,-3.6,0.0,E,0.7,Dingling,2013-03-06 22:00:00
144,236.0,245.0,77.0,134.0,2500.0,52.0,4.5,1004.1,-3.3,0.0,S,0.9,Dingling,2013-03-06 23:00:00
145,223.0,228.0,83.0,134.0,2299.0,52.0,5.3,1004.2,-3.3,0.0,ENE,0.7,Dingling,2013-03-07 00:00:00
146,196.0,197.0,69.0,114.0,1899.0,52.0,6.2,1004.2,-3.2,0.0,E,1.4,Dingling,2013-03-07 01:00:00
147,150.0,149.0,50.5,74.0,1300.0,52.0,3.0,1003.8,-3.8,0.0,SW,0.5,Dingling,2013-03-07 02:00:00
148,91.0,85.0,32.0,46.0,1100.0,52.0,1.4,1003.6,-4.3,0.0,SW,1.0,Dingling,2013-03-07 03:00:00
149,61.0,61.0,24.0,36.0,900.0,52.0,1.3,1003.5,-5.0,0.0,WNW,1.8,Dingling,2013-03-07 04:00:00
150,50.0,40.0,20.0,26.0,500.0,52.0,1.0,1003.7,-5.3,0.0,NNE,1.5,Dingling,2013-03-07 05:00:00
151,26.0,13.0,19.0,26.0,400.0,52.0,0.2,1003.6,-5.4,0.0,NNE,1.0,Dingling,2013-03-07 06:00:00
152,19.0,13.0,18.0,31.0,600.0,52.0,4.9,1003.6,-4.4,0.0,N,0.1,Dingling,2013-03-07 07:00:00
153,33.0,29.0,20.0,28.0,600.0,52.0,7.0,1003.4,-3.6,0.0,SSW,1.4,Dingling,2013-03-07 08:00:00
154,28.0,39.0,22.0,34.0,900.0,52.0,8.9,1003.2,-3.7,0.0,SSE,1.0,Dingling,2013-03-07 09:00:00
155,47.0,74.0,58.0,102.0,2399.0,52.0,12.5,1002.1,-5.5,0.0,SE,1.1,Dingling,2013-03-07 10:00:00
156,134.0,204.0,107.0,157.0,3500.0,52.0,15.0,1000.3,-4.9,0.0,SE,0.8,Dingling,2013-03-07 11:00:00
157,224.0,294.0,72.0,98.0,1899.0,52.0,16.3,998.4,-4.3,0.0,ESE,1.5,Dingling,2013-03-07 12:00:00
158,153.0,160.0,36.0,44.0,900.0,63.0,17.3,996.7,-4.1,0.0,SSW,1.4,Dingling,2013-03-07 13:00:00
159,74.0,52.0,30.0,43.0,900.0,75.0,16.6,995.5,-3.5,0.0,ESE,1.2,Dingling,2013-03-07 14:00:00
160,75.0,83.0,49.0,128.0,1800.0,75.0,16.8,994.7,-3.4,0.0,ENE,1.0,Dingling,2013-03-07 15:00:00
161,149.0,182.0,68.0,182.0,2500.0,75.0,16.6,994.1,-3.5,0.0,ENE,0.8,Dingling,2013-03-07 16:00:00
162,223.0,260.0,74.0,180.0,2700.0,75.0,14.5,993.9,-3.3,0.0,NE,0.7,Dingling,2013-03-07 17:00:00
163,258.0,282.0,64.0,156.0,2500.0,75.0,12.5,994.5,-3.4,0.0,N,0.5,Dingling,2013-03-07 18:00:00
164,244.0,266.0,58.0,172.0,2700.0,34.0,11.8,994.7,-3.2,0.0,ENE,0.8,Dingling,2013-03-07 19:00:00
165,253.0,285.0,52.0,147.0,2500.0,75.0,9.8,994.6,-2.8,0.0,NNW,0.6,Dingling,2013-03-07 20:00:00
166,240.0,244.0,45.0,126.0,2500.0,75.0,7.9,995.1,-3.0,0.0,NNE,1.2,Dingling,2013-03-07 21:00:00
167,224.0,226.0,41.0,105.0,2200.0,75.0,8.1,995.1,-3.4,0.0,ENE,0.9,Dingling,2013-03-07 22:00:00
168,219.0,203.0,38.0,87.0,2000.0,75.0,6.8,995.0,-3.2,0.0,NE,1.3,Dingling,2013-03-07 23:00:00
169,189.0,189.0,36.0,72.0,1899.0,75.0,5.9,995.3,-3.0,0.0,NE,0.0,Dingling,2013-03-08 00:00:00
170,248.0,190.0,33.0,60.0,1700.0,75.0,4.4,995.6,-3.2,0.0,E,0.8,Dingling,2013-03-08 01:00:00
171,167.0,182.0,26.0,84.0,1600.0,75.0,4.0,995.2,-3.5,0.0,ENE,0.6,Dingling,2013-03-08 02:00:00
172,137.0,164.0,26.0,76.0,1800.0,75.0,4.5,994.7,-3.1,0.0,SE,1.4,Dingling,2013-03-08 03:00:00
173,133.0,146.0,18.0,34.0,700.0,75.0,16.7,994.9,-5.8,0.0,NW,5.2,Dingling,2013-03-08 04:00:00
174,79.0,100.0,8.0,7.0,300.0,75.0,15.4,995.6,-6.2,0.0,SE,0.7,Dingling,2013-03-08 05:00:00
175,41.0,160.0,8.0,9.0,300.0,75.0,12.7,996.2,-5.4,0.0,ESE,1.7,Dingling,2013-03-08 06:00:00
176,37.0,129.0,9.0,10.0,300.0,75.0,14.9,996.7,-5.5,0.0,NE,1.3,Dingling,2013-03-08 07:00:00
177,38.0,137.0,15.0,26.0,400.0,75.0,11.2,997.8,-4.1,0.0,ESE,1.7,Dingling,2013-03-08 08:00:00
178,48.0,149.0,18.0,30.0,700.0,75.0,14.5,997.9,-2.9,0.0,SSW,1.7,Dingling,2013-03-08 09:00:00
179,122.0,175.0,31.7016,50.0932,1200.0,75.0,17.3,997.3,-3.5,0.0,SE,1.4,Dingling,2013-03-08 10:00:00
180,166.0,277.0,43.0,85.0,1700.0,75.0,19.3,996.7,-3.6,0.0,ESE,2.1,Dingling,2013-03-08 11:00:00
181,108.0,172.0,28.0,48.0,900.0,75.0,20.6,995.8,-3.9,0.0,ESE,2.5,Dingling,2013-03-08 12:00:00
182,111.0,212.0,27.0,50.0,1000.0,82.0,21.9,994.7,-4.3,0.0,SE,3.0,Dingling,2013-03-08 13:00:00
183,146.0,240.0,35.0,91.0,1399.0,82.0,17.6,995.0,1.5,0.0,ESE,4.5,Dingling,2013-03-08 14:00:00
184,410.0,631.0,56.0,142.0,3700.0,107.0,14.8,996.1,0.2,0.0,S,2.5,Dingling,2013-03-08 15:00:00
185,405.0,582.0,83.0,126.0,4900.0,107.0,13.1,996.5,-0.2,0.0,ESE,4.0,Dingling,2013-03-08 16:00:00
186,190.0,311.0,60.0,74.0,2100.0,107.0,11.7,996.5,-0.5,0.0,SE,3.4,Dingling,2013-03-08 17:00:00
187,173.0,244.0,49.0,57.0,1600.0,107.0,10.4,997.4,-1.0,0.0,SE,2.7,Dingling,2013-03-08 18:00:00
188,118.0,216.0,39.0,46.0,1300.0,107.0,9.4,997.3,-0.8,0.0,ESE,2.7,Dingling,2013-03-08 19:00:00
189,120.0,188.0,48.0,50.0,1100.0,107.0,8.6,997.1,-1.5,0.0,ESE,2.8,Dingling,2013-03-08 20:00:00
190,113.0,156.0,45.0,46.0,1200.0,107.0,7.6,996.9,-2.4,0.0,ESE,1.8,Dingling,2013-03-08 21:00:00
191,104.0,134.0,32.0,42.0,1200.0,107.0,6.8,996.0,-3.2,0.0,ESE,1.3,Dingling,2013-03-08 22:00:00
192,105.0,124.0,25.0,47.0,1300.0,107.0,5.6,994.5,-3.0,0.0,ESE,0.7,Dingling,2013-03-08 23:00:00
193,108.0,123.0,23.0,55.0,1300.0,107.0,4.3,993.1,-3.0,0.0,NNE,1.2,Dingling,2013-03-09 00:00:00
194,111.0,145.0,17.0,48.0,1300.0,107.0,3.9,991.9,-2.5,0.0,NNE,0.0,Dingling,2013-03-09 01:00:00
195,110.0,135.0,18.0,50.0,1300.0,107.0,3.0,991.2,-2.7,0.0,N,0.7,Dingling,2013-03-09 02:00:00
196,194.0,120.0,18.0,45.0,1200.0,107.0,2.4,989.8,-2.9,0.0,NNW,1.2,Dingling,2013-03-09 03:00:00
197,101.0,112.0,20.0,40.0,1200.0,107.0,1.9,988.9,-3.0,0.0,NNE,0.7,Dingling,2013-03-09 04:00:00
198,106.0,108.0,20.0,34.0,1200.0,107.0,2.0,989.2,-3.3,0.0,NNE,0.5,Dingling,2013-03-09 05:00:00
