No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
33662,2017,1,1,13,536.0,536.0,29.0,190.0,6400.0,16.0,1.1,1014.7,-8.4,0.0,N,0.8,Dingling,2017-01-01 13:00:00
33663,2017,1,1,14,338.0,338.0,34.0,154.0,4200.0,22.0,3.0,1013.8,-8.7,0.0,S,1.4,Dingling,2017-01-01 14:00:00
33664,2017,1,1,15,273.0,273.0,30.0,141.0,3400.0,21.0,2.8,1013.7,-8.3,0.0,WSW,1.2,Dingling,2017-01-01 15:00:00
33665,2017,1,1,16,286.0,317.0,28.0,153.0,4000.0,22.0,2.1,1013.7,-7.8,0.0,SW,1.0,Dingling,2017-01-01 16:00:00
33666,2017,1,1,17,356.0,356.0,24.0,166.0,4900.0,6.0,0.8,1013.6,-8.0,0.0,NW,0.9,Dingling,2017-01-01 17:00:00
33667,2017,1,1,18,338.0,338.0,16.0,155.0,4700.0,4.0,-0.7,1013.7,-7.9,0.0,NNW,0.9,Dingling,2017-01-01 18:00:00
33668,2017,1,1,19,339.0,339.0,13.0,147.0,4700.0,4.0,-1.0,1014.2,-7.4,0.0,ENE,1.2,Dingling,2017-01-01 19:00:00
33669,2017,1,1,20,332.0,332.0,14.0,137.0,4800.0,4.0,-1.2,1015.0,-5.4,0.0,E,1.7,Dingling,2017-01-01 20:00:00
33670,2017,1,1,21,339.0,339.0,17.0,138.0,5200.0,5.0,-2.3,1015.4,-5.6,0.0,ESE,1.0,Dingling,2017-01-01 21:00:00
33671,2017,1,1,22,339.0,372.0,18.0,137.0,5900.0,6.0,-3.9,1015.7,-8.8,0.0,WNW,1.5,Dingling,2017-01-01 22:00:00
33672,2017,1,1,23,343.0,343.0,19.0,137.0,5400.0,4.0,-4.7,1016.0,-8.6,0.0,NNW,1.5,Dingling,2017-01-01 23:00:00
33673,2017,1,2,0,311.0,311.0,13.0,123.0,5100.0,5.0,-5.4,1015.8,-8.5,0.0,NNE,0.4,Dingling,2017-01-02 00:00:00
33674,2017,1,2,1,256.0,256.0,17.0,118.0,4100.0,3.0,-5.6,1015.7,-9.2,0.0,SSW,0.9,Dingling,2017-01-02 01:00:00
33675,2017,1,2,2,57.0,57.0,17.0,33.0,800.0,43.0,-1.2,1016.0,-11.4,0.0,N,1.6,Dingling,2017-01-02 02:00:00
33676,2017,1,2,3,22.0,22.0,13.0,24.0,600.0,54.0,-3.4,1016.5,-9.6,0.0,SSW,1.2,Dingling,2017-01-02 03:00:00
33677,2017,1,2,4,17.0,17.0,12.0,22.0,600.0,56.0,-1.2,1016.3,-11.9,0.0,N,1.2,Dingling,2017-01-02 04:00:00
33678,2017,1,2,5,18.0,18.0,11.0,20.0,600.0,55.0,2.1,1016.1,-12.5,0.0,NE,2.3,Dingling,2017-01-02 05:00:00
33679,2017,1,2,6,12.0,12.0,6.0,9.0,400.0,69.0,1.5,1016.2,-12.7,0.0,N,1.6,Dingling,2017-01-02 06:00:00
33680,2017,1,2,7,9.0,9.0,6.0,8.0,400.0,71.0,1.5,1016.9,-12.7,0.0,NNE,2.1,Dingling,2017-01-02 07:00:00
33681,2017,1,2,8,8.0,8.0,6.0,10.0,400.0,67.0,1.3,1017.4,-12.5,0.0,N,2.4,Dingling,2017-01-02 08:00:00
33682,2017,1,2,9,10.0,10.0,6.0,11.0,400.0,69.0,2.3,1017.9,-12.7,0.0,NNE,2.3,Dingling,2017-01-02 09:00:00
33683,2017,1,2,10,12.0,12.0,6.0,8.0,400.0,73.0,5.0,1018.2,-12.5,0.0,NNE,2.0,Dingling,2017-01-02 10:00:00
33684,2017,1,2,11,13.0,13.0,8.0,10.0,400.0,71.0,6.7,1018.0,-12.5,0.0,NNE,1.5,Dingling,2017-01-02 11:00:00
33685,2017,1,2,12,15.0,15.0,7.0,10.0,400.0,74.0,8.1,1016.8,-13.0,0.0,NNE,0.7,Dingling,2017-01-02 12:00:00
33686,2017,1,2,13,14.0,14.0,7.0,11.0,400.0,75.0,8.9,1015.9,-11.2,0.0,S,2.9,Dingling,2017-01-02 13:00:00
33687,2017,1,2,14,19.0,26.0,10.0,22.0,600.0,69.0,9.3,1015.2,-12.6,0.0,SSE,2.7,Dingling,2017-01-02 14:00:00
33688,2017,1,2,15,43.0,84.0,12.0,35.0,1000.0,71.0,8.0,1014.7,-9.4,0.0,SSE,3.1,Dingling,2017-01-02 15:00:00
33689,2017,1,2,16,139.0,194.0,16.0,70.0,2300.0,75.0,6.2,1014.9,-7.8,0.0,ESE,2.0,Dingling,2017-01-02 16:00:00
33690,2017,1,2,17,203.0,225.0,20.0,96.0,3200.0,59.0,4.4,1015.0,-7.7,0.0,ESE,3.0,Dingling,2017-01-02 17:00:00
33691,2017,1,2,18,216.0,226.0,22.0,105.0,3600.0,44.0,3.4,1015.4,-8.3,0.0,E,2.1,Dingling,2017-01-02 18:00:00
33692,2017,1,2,19,210.0,210.0,14.0,97.0,3300.0,31.0,2.3,1015.6,-8.7,0.0,E,1.1,Dingling,2017-01-02 19:00:00
33693,2017,1,2,20,200.0,200.0,12.0,87.0,3200.0,29.0,-0.8,1015.6,-9.2,0.0,NE,0.7,Dingling,2017-01-02 20:00:00
33694,2017,1,2,21,197.0,197.0,14.0,87.0,3300.0,20.0,-1.6,1015.7,-9.2,0.0,NNW,1.8,Dingling,2017-01-02 21:00:00
33695,2017,1,2,22,179.0,179.0,12.0,74.0,3000.0,25.0,-2.3,1015.7,-9.5,0.0,NW,1.0,Dingling,2017-01-02 22:00:00
33696,2017,1,2,23,172.0,172.0,9.0,70.0,2900.0,23.0,-2.8,1015.4,-9.5,0.0,NNW,1.0,Dingling,2017-01-02 23:00:00
33697,2017,1,3,0,174.0,174.0,11.0,69.0,3000.0,26.0,-2.9,1015.2,-9.6,0.0,WSW,0.8,Dingling,2017-01-03 00:00:00
33698,2017,1,3,1,198.0,198.0,11.0,65.0,3900.0,21.0,-3.2,1014.9,-9.5,0.0,N,1.9,Dingling,2017-01-03 01:00:00
33699,2017,1,3,2,212.0,212.0,21.0,67.0,5200.0,12.0,-4.2,1014.7,-9.6,0.0,NNE,0.9,Dingling,2017-01-03 02:00:00
33700,2017,1,3,3,164.0,164.0,9.0,55.0,2500.0,14.0,-4.3,1014.6,-9.5,0.0,NE,0.6,Dingling,2017-01-03 03:00:00
33701,2017,1,3,4,149.0,149.0,7.0,51.0,2200.0,75.0,-3.9,1014.1,-9.9,0.0,NNW,1.4,Dingling,2017-01-03 04:00:00
33702,2017,1,3,5,151.0,151.0,11.0,56.0,3100.0,17.0,-3.8,1013.5,-9.8,0.0,NNW,2.3,Dingling,2017-01-03 05:00:00
33703,2017,1,3,6,142.0,142.0,12.0,57.0,3300.0,14.0,-4.4,1013.2,-10.0,0.0,NNW,1.3,Dingling,2017-01-03 06:00:00
33704,2017,1,3,7,142.0,142.0,12.0,59.0,3000.0,9.0,-5.2,1013.5,-10.0,0.0,WNW,0.7,Dingling,2017-01-03 07:00:00
33705,2017,1,3,8,127.0,127.0,6.0,47.0,2300.0,12.0,-5.3,1013.9,-9.7,0.0,N,1.2,Dingling,2017-01-03 08:00:00
33706,2017,1,3,9,166.0,166.0,17.0,56.0,2900.0,12.0,-4.2,1014.3,-9.0,0.0,SSW,0.6,Dingling,2017-01-03 09:00:00
33707,2017,1,3,10,143.0,143.0,26.0,61.0,2600.0,14.0,-0.4,1014.3,-7.7,0.0,SSW,1.7,Dingling,2017-01-03 10:00:00
33708,2017,1,3,11,168.0,170.0,28.0,75.0,2800.0,27.0,1.6,1013.9,-7.7,0.0,SSW,1.5,Dingling,2017-01-03 11:00:00
33709,2017,1,3,12,245.0,269.0,43.0,124.0,4600.0,18.0,4.2,1012.7,-7.6,0.0,S,1.3,Dingling,2017-01-03 12:00:00
33710,2017,1,3,13,267.0,267.0,43.0,144.0,4700.0,16.0,6.2,1011.4,-7.4,0.0,ESE,1.3,Dingling,2017-01-03 13:00:00
33711,2017,1,3,14,221.0,221.0,36.0,130.0,3900.0,25.0,8.3,1010.6,-7.5,0.0,ESE,1.7,Dingling,2017-01-03 14:00:00
33712,2017,1,3,15,204.0,204.0,32.0,117.0,3400.0,35.0,9.8,1010.4,-7.4,0.0,E,1.5,Dingling,2017-01-03 15:00:00
33713,2017,1,3,16,186.0,194.0,29.0,112.0,3100.0,36.0,8.6,1010.8,-7.6,0.0,ESE,2.4,Dingling,2017-01-03 16:00:00
33714,2017,1,3,17,202.0,202.0,30.0,134.0,3400.0,18.0,6.6,1011.6,-7.4,0.0,E,1.4,Dingling,2017-01-03 17:00:00
33715,2017,1,3,18,199.0,199.0,24.0,142.0,3600.0,4.0,3.8,1012.5,-7.7,0.0,N,0.6,Dingling,2017-01-03 18:00:00
33716,2017,1,3,19,214.0,214.0,23.0,135.0,3800.0,3.0,2.0,1013.5,-7.6,0.0,ENE,0.6,Dingling,2017-01-03 19:00:00
33717,2017,1,3,20,203.0,203.0,20.0,126.0,3600.0,3.0,0.4,1014.3,-7.6,0.0,SSW,0.5,Dingling,2017-01-03 20:00:00
33718,2017,1,3,21,166.0,166.0,20.0,120.0,3600.0,3.0,-1.1,1014.5,-7.9,0.0,N,0.6,Dingling,2017-01-03 21:00:00
33719,2017,1,3,22,161.0,161.0,24.0,113.0,3600.0,3.0,-1.6,1015.0,-7.5,0.0,NNE,0.7,Dingling,2017-01-03 22:00:00
33720,2017,1,3,23,122.0,122.0,13.0,91.0,2500.0,4.0,-1.9,1015.1,-8.4,0.0,WSW,0.3,Dingling,2017-01-03 23:00:00
33721,2017,1,4,0,104.0,104.0,13.0,74.0,1900.0,14.0,-2.1,1015.4,-8.8,0.0,SSW,0.5,Dingling,2017-01-04 00:00:00
33722,2017,1,4,1,125.0,125.0,14.0,80.0,2800.0,7.0,-2.6,1015.7,-8.1,0.0,NNW,0.5,Dingling,2017-01-04 01:00:00
33723,2017,1,4,2,84.0,84.0,9.0,64.0,1800.0,9.0,-3.0,1015.8,-8.5,0.0,NNW,1.7,Dingling,2017-01-04 02:00:00
33724,2017,1,4,3,64.0,64.0,9.0,46.0,1700.0,17.0,-3.7,1016.0,-8.6,0.0,W,0.4,Dingling,2017-01-04 03:00:00
33725,2017,1,4,4,63.0,63.0,11.0,58.0,2100.0,8.0,-4.2,1016.0,-8.7,0.0,ENE,0.3,Dingling,2017-01-04 04:00:00
33726,2017,1,4,5,56.0,56.0,8.0,54.0,1300.0,11.0,-4.2,1016.0,-8.9,0.0,NNE,0.8,Dingling,2017-01-04 05:00:00
33727,2017,1,4,6,48.0,48.0,7.0,47.0,1200.0,17.0,-4.0,1015.8,-9.4,0.0,NNW,1.7,Dingling,2017-01-04 06:00:00
33728,2017,1,4,7,65.0,65.0,7.0,63.0,1400.0,11.0,-4.6,1016.2,-9.4,0.0,NNW,1.4,Dingling,2017-01-04 07:00:00
33729,2017,1,4,8,50.0,50.0,8.0,43.0,1200.0,21.0,-4.7,1016.8,-9.5,0.0,N,1.0,Dingling,2017-01-04 08:00:00
33730,2017,1,4,9,45.0,45.0,10.0,24.0,1000.0,35.0,-1.5,1017.1,-9.4,0.0,NNW,1.9,Dingling,2017-01-04 09:00:00
33731,2017,1,4,10,41.0,41.0,18.0,27.0,900.0,44.0,3.5,1017.3,-7.9,0.0,SE,1.2,Dingling,2017-01-04 10:00:00
33732,2017,1,4,11,93.0,115.0,20.0,48.0,1800.0,43.0,2.8,1017.3,-8.6,0.0,ESE,2.0,Dingling,2017-01-04 11:00:00
33733,2017,1,4,12,116.0,116.0,21.0,59.0,2100.0,41.0,4.6,1016.6,-7.9,0.0,SE,1.6,Dingling,2017-01-04 12:00:00
33734,2017,1,4,13,113.0,113.0,20.0,60.0,2000.0,48.0,5.8,1016.2,-8.9,0.0,ESE,1.9,Dingling,2017-01-04 13:00:00
33735,2017,1,4,14,91.0,92.0,16.0,43.0,1500.0,63.0,6.3,1015.7,-7.3,0.0,ESE,1.6,Dingling,2017-01-04 14:00:00
33736,2017,1,4,15,172.0,184.0,33.0,82.0,3000.0,63.0,6.1,1015.6,-8.2,0.0,ESE,1.7,Dingling,2017-01-04 15:00:00
33737,2017,1,4,16,196.0,198.0,43.0,103.0,3700.0,54.0,6.1,1015.5,-7.5,0.0,S,1.2,Dingling,2017-01-04 16:00:00
33738,2017,1,4,17,220.0,252.0,45.0,131.0,4600.0,24.0,4.9,1016.1,-7.3,0.0,ESE,1.5,Dingling,2017-01-04 17:00:00
33739,2017,1,4,18,249.0,249.0,33.0,146.0,5200.0,5.0,3.3,1016.7,-6.1,0.0,E,0.6,Dingling,2017-01-04 18:00:00
33740,2017,1,4,19,271.0,271.0,24.0,148.0,5800.0,3.0,1.1,1017.4,-6.5,0.0,NE,0.9,Dingling,2017-01-04 19:00:00
33741,2017,1,4,20,261.0,261.0,30.0,136.0,5300.0,3.0,-0.1,1017.8,-7.4,0.0,NE,0.8,Dingling,2017-01-04 20:00:00
33742,2017,1,4,21,236.0,236.0,21.0,122.0,4800.0,5.0,-1.0,1018.2,-7.8,0.0,,0.2,Dingling,2017-01-04 21:00:00
33743,2017,1,4,22,252.0,252.0,22.0,127.0,5600.0,4.0,0.7,1018.7,-3.6,0.0,ESE,1.9,Dingling,2017-01-04 22:00:00
33744,2017,1,4,23,255.0,255.0,21.0,124.0,5600.0,3.0,-0.7,1019.3,-3.6,0.0,ESE,1.5,Dingling,2017-01-04 23:00:00
33745,2017,1,5,0,241.0,297.0,16.0,108.0,5800.0,4.0,-2.5,1019.9,-3.5,0.0,ESE,2.3,Dingling,2017-01-05 00:00:00
33746,2017,1,5,1,393.0,423.0,7.0,128.0,9600.0,3.0,-2.0,1020.2,-2.7,0.0,ESE,1.2,Dingling,2017-01-05 01:00:00
33747,2017,1,5,2,413.0,418.0,6.0,126.0,10000.0,2.0,-2.0,1020.7,-2.7,0.0,NNW,1.3,Dingling,2017-01-05 02:00:00
33748,2017,1,5,3,409.0,409.0,6.0,134.0,8600.0,2.0,-2.2,1021.1,-3.2,0.0,N,1.5,Dingling,2017-01-05 03:00:00
33749,2017,1,5,4,396.0,396.0,6.0,129.0,8200.0,63.0,-1.9,1021.0,-3.0,0.0,N,1.7,Dingling,2017-01-05 04:00:00
33750,2017,1,5,5,382.0,382.0,8.0,130.0,8700.0,3.0,-1.7,1021.3,-3.7,0.0,NW,1.1,Dingling,2017-01-05 05:00:00
33751,2017,1,5,6,359.0,359.0,8.0,134.0,8300.0,2.0,-1.1,1021.4,-3.1,0.0,N,1.9,Dingling,2017-01-05 06:00:00
33752,2017,1,5,7,272.0,272.0,10.0,132.0,7300.0,2.0,-0.6,1021.7,-2.8,0.0,N,2.2,Dingling,2017-01-05 07:00:00
33753,2017,1,5,8,227.0,227.0,13.0,125.0,6600.0,2.0,-0.7,1022.4,-3.4,0.0,W,2.0,Dingling,2017-01-05 08:00:00
33754,2017,1,5,9,216.0,216.0,17.0,113.0,5800.0,4.0,-0.3,1023.0,-3.3,0.0,NW,1.2,Dingling,2017-01-05 09:00:00
33755,2017,1,5,10,191.0,191.0,18.0,87.0,4600.0,16.0,0.2,1023.4,-3.2,0.0,SW,1.4,Dingling,2017-01-05 10:00:00
33756,2017,1,5,11,278.0,287.0,24.0,123.0,6700.0,7.0,0.4,1023.7,-2.7,0.0,W,1.1,Dingling,2017-01-05 11:00:00
33757,2017,1,5,12,307.0,307.0,28.0,131.0,6800.0,4.0,0.8,1022.8,-2.4,0.0,NW,0.9,Dingling,2017-01-05 12:00:00
33758,2017,1,5,13,284.0,284.0,25.0,123.0,6300.0,6.0,1.2,1021.7,-2.2,0.0,NNW,1.1,Dingling,2017-01-05 13:00:00
33759,2017,1,5,14,249.0,249.0,20.0,96.0,5000.0,63.0,1.7,1021.0,-1.9,0.0,NNW,2.2,Dingling,2017-01-05 14:00:00
33760,2017,1,5,15,120.0,120.0,23.0,47.0,2400.0,54.0,2.6,1021.0,-2.7,0.0,NE,1.0,Dingling,2017-01-05 15:00:00
33761,2017,1,5,16,123.0,123.0,25.0,54.0,2500.0,46.0,2.4,1021.0,-2.0,0.0,SW,1.1,Dingling,2017-01-05 16:00:00
33762,2017,1,5,17,3.0,5.0,22.0,66.0,,46.0,2.0,1021.2,-2.3,0.0,SW,1.3,Dingling,2017-01-05 17:00:00
33763,2017,1,5,18,3.0,5.0,17.0,64.0,,46.0,1.8,1021.4,-2.2,0.0,NNW,0.7,Dingling,2017-01-05 18:00:00
33764,2017,1,5,19,123.0,133.0,21.0,2.0,3200.0,46.0,1.6,1021.5,-2.4,0.0,WNW,0.7,Dingling,2017-01-05 19:00:00
33765,2017,1,5,20,141.0,146.0,20.5,32.0,,35.5,1.7,1021.2,-2.6,0.0,NW,0.8,Dingling,2017-01-05 20:00:00
33766,2017,1,5,21,159.0,159.0,20.0,62.0,2600.0,25.0,1.3,1021.1,-3.4,0.0,NW,1.0,Dingling,2017-01-05 21:00:00
33767,2017,1,5,22,170.0,170.0,19.5,68.0,3100.0,14.5,0.8,1021.2,-3.1,0.0,NNW,0.8,Dingling,2017-01-05 22:00:00
33768,2017,1,5,23,155.0,155.0,19.0,71.0,3300.0,4.0,-0.1,1020.9,-3.7,0.0,NNW,1.0,Dingling,2017-01-05 23:00:00
33769,2017,1,6,0,128.0,128.0,12.0,55.0,2400.0,11.0,-0.3,1020.6,-4.2,0.0,N,1.0,Dingling,2017-01-06 00:00:00
33770,2017,1,6,1,135.0,135.0,11.0,51.0,2900.0,12.0,-1.0,1020.1,-4.5,0.0,NNE,0.6,Dingling,2017-01-06 01:00:00
33771,2017,1,6,2,142.0,142.0,12.0,59.0,3300.0,9.0,-1.2,1020.0,-4.7,0.0,NNW,1.1,Dingling,2017-01-06 02:00:00
33772,2017,1,6,3,133.0,133.0,12.0,61.0,3300.0,6.0,-1.8,1019.9,-5.0,0.0,NNW,1.3,Dingling,2017-01-06 03:00:00
33773,2017,1,6,4,131.0,131.0,10.0,60.0,2900.0,6.0,-2.2,1019.4,-5.2,0.0,NNW,1.6,Dingling,2017-01-06 04:00:00
33774,2017,1,6,5,128.0,128.0,6.0,61.0,2600.0,6.0,-2.5,1019.1,-5.3,0.0,NNE,0.8,Dingling,2017-01-06 05:00:00
33775,2017,1,6,6,127.0,127.0,5.0,61.0,2700.0,5.0,-2.5,1019.1,-5.2,0.0,NNW,0.9,Dingling,2017-01-06 06:00:00
33776,2017,1,6,7,131.0,131.0,5.0,60.0,2700.0,4.0,-2.8,1019.2,-5.1,0.0,NW,0.5,Dingling,2017-01-06 07:00:00
33777,2017,1,6,8,144.0,144.0,6.0,64.0,3200.0,3.0,-2.7,1019.4,-5.0,0.0,NNE,0.8,Dingling,2017-01-06 08:00:00
33778,2017,1,6,9,162.0,162.0,11.0,56.0,3400.0,10.0,-1.7,1019.6,-4.7,0.0,NNW,1.5,Dingling,2017-01-06 09:00:00
33779,2017,1,6,10,227.0,227.0,20.0,64.0,4200.0,14.0,0.7,1019.7,-3.2,0.0,S,0.7,Dingling,2017-01-06 10:00:00
33780,2017,1,6,11,191.0,191.0,24.0,64.0,3100.0,23.0,2.0,1019.5,-3.5,0.0,SSW,1.4,Dingling,2017-01-06 11:00:00
33781,2017,1,6,12,182.0,182.0,25.0,75.0,3100.0,25.0,2.7,1018.2,-3.4,0.0,S,1.5,Dingling,2017-01-06 12:00:00
33782,2017,1,6,13,189.0,189.0,27.0,81.0,3100.0,30.0,4.1,1016.8,-3.7,0.0,W,1.0,Dingling,2017-01-06 13:00:00
33783,2017,1,6,14,169.0,169.0,23.0,71.0,2700.0,35.0,4.5,1015.9,-3.8,0.0,S,1.6,Dingling,2017-01-06 14:00:00
33784,2017,1,6,15,173.0,173.0,21.0,81.0,2900.0,34.0,4.4,1015.5,-3.6,0.0,ESE,1.6,Dingling,2017-01-06 15:00:00
33785,2017,1,6,16,197.0,197.0,20.0,97.0,3200.0,26.0,3.9,1015.5,-3.6,0.0,ESE,1.6,Dingling,2017-01-06 16:00:00
33786,2017,1,6,17,193.0,193.0,15.0,84.0,3200.0,30.0,3.1,1015.6,-3.9,0.0,ESE,1.2,Dingling,2017-01-06 17:00:00
33787,2017,1,6,18,200.0,200.0,10.0,83.0,3300.0,21.0,2.1,1016.0,-4.4,0.0,NNE,1.0,Dingling,2017-01-06 18:00:00
33788,2017,1,6,19,194.0,194.0,9.0,88.0,3200.0,10.0,1.2,1016.1,-4.1,0.0,NNE,0.8,Dingling,2017-01-06 19:00:00
33789,2017,1,6,20,213.0,213.0,10.0,92.0,3600.0,4.0,0.2,1016.1,-4.1,0.0,N,1.2,Dingling,2017-01-06 20:00:00
33790,2017,1,6,21,205.0,205.0,9.0,86.0,3300.0,5.0,-0.1,1016.2,-4.2,0.0,NNW,1.6,Dingling,2017-01-06 21:00:00
33791,2017,1,6,22,213.0,213.0,15.0,90.0,4100.0,4.0,0.5,1016.0,-4.0,0.0,NNE,0.5,Dingling,2017-01-06 22:00:00
33792,2017,1,6,23,205.0,205.0,14.0,83.0,3300.0,2.0,1.3,1015.7,-3.8,0.0,N,1.1,Dingling,2017-01-06 23:00:00
33793,2017,1,7,0,192.0,192.0,12.0,79.0,3200.0,3.0,1.1,1015.4,-3.8,0.0,NNW,0.9,Dingling,2017-01-07 00:00:00
33794,2017,1,7,1,184.0,184.0,11.0,73.0,2900.0,2.0,1.2,1014.9,-3.5,0.0,NE,0.6,Dingling,2017-01-07 01:00:00
33795,2017,1,7,2,204.0,204.0,12.0,65.0,3600.0,3.0,0.9,1015.2,-3.6,0.0,,0.1,Dingling,2017-01-07 02:00:00
33796,2017,1,7,3,186.0,186.0,9.0,62.0,3200.0,2.0,1.0,1015.1,-3.3,0.0,,0.1,Dingling,2017-01-07 03:00:00
33797,2017,1,7,4,181.0,181.0,8.0,61.0,300.0,35.0,0.9,1014.9,-3.2,0.0,SSE,0.4,Dingling,2017-01-07 04:00:00
33798,2017,1,7,5,173.0,173.0,9.0,65.0,3400.0,2.0,0.6,1014.6,-3.5,0.0,NNW,0.8,Dingling,2017-01-07 05:00:00
33799,2017,1,7,6,161.0,161.0,9.0,63.0,3100.0,2.0,0.6,1014.5,-3.5,0.0,,0.0,Dingling,2017-01-07 06:00:00
33800,2017,1,7,7,184.0,184.0,12.0,69.0,4200.0,2.0,0.9,1014.9,-3.4,0.0,S,1.4,Dingling,2017-01-07 07:00:00
33801,2017,1,7,8,204.0,204.0,16.0,82.0,4200.0,2.0,1.1,1015.2,-3.8,0.0,W,0.6,Dingling,2017-01-07 08:00:00
33802,2017,1,7,9,219.0,219.0,20.0,84.0,4600.0,3.0,1.2,1015.7,-3.3,0.0,N,1.2,Dingling,2017-01-07 09:00:00
33803,2017,1,7,10,240.0,240.0,30.0,96.0,500.0,4.0,1.8,1016.0,-3.3,0.0,NW,1.0,Dingling,2017-01-07 10:00:00
33804,2017,1,7,11,274.0,274.0,35.0,115.0,5700.0,4.0,2.6,1015.9,-2.7,0.0,SW,1.0,Dingling,2017-01-07 11:00:00
33805,2017,1,7,12,268.0,268.0,34.0,105.0,4500.0,7.0,3.4,1015.0,-3.0,0.0,E,1.2,Dingling,2017-01-07 12:00:00
33806,2017,1,7,13,80.0,80.0,22.0,22.0,900.0,46.0,4.1,1014.1,-3.2,0.0,SE,1.2,Dingling,2017-01-07 13:00:00
33807,2017,1,7,14,33.0,33.0,16.0,13.0,600.0,54.0,4.8,1013.7,-3.2,0.0,W,0.7,Dingling,2017-01-07 14:00:00
33808,2017,1,7,15,34.0,34.0,15.0,13.0,500.0,55.0,4.4,1013.6,-2.0,0.0,ESE,1.6,Dingling,2017-01-07 15:00:00
33809,2017,1,7,16,36.0,36.0,13.0,14.0,600.0,54.0,3.9,1014.0,-1.7,0.0,ESE,1.0,Dingling,2017-01-07 16:00:00
33810,2017,1,7,17,38.0,38.0,12.0,17.0,600.0,49.0,3.3,1014.2,-1.3,0.0,S,1.1,Dingling,2017-01-07 17:00:00
33811,2017,1,7,18,37.0,37.0,13.0,19.0,600.0,46.0,3.5,1014.6,-4.9,0.0,N,0.7,Dingling,2017-01-07 18:00:00
33812,2017,1,7,19,41.0,41.0,14.0,23.0,700.0,41.0,3.3,1015.1,-2.9,0.0,ENE,0.9,Dingling,2017-01-07 19:00:00
33813,2017,1,7,20,43.0,43.0,18.0,37.0,900.0,27.0,2.8,1015.1,-4.4,0.0,NNE,1.1,Dingling,2017-01-07 20:00:00
33814,2017,1,7,21,35.0,35.0,15.0,21.0,600.0,40.0,3.0,1015.1,-7.8,0.0,NW,1.4,Dingling,2017-01-07 21:00:00
33815,2017,1,7,22,32.0,32.0,13.0,17.0,600.0,46.0,2.4,1015.3,-7.5,0.0,NNW,1.2,Dingling,2017-01-07 22:00:00
33816,2017,1,7,23,31.0,31.0,12.0,14.0,500.0,49.0,2.4,1015.3,-9.5,0.0,NW,2.8,Dingling,2017-01-07 23:00:00
33817,2017,1,8,0,28.0,28.0,11.0,14.0,500.0,50.0,2.1,1015.2,-9.8,0.0,NW,3.2,Dingling,2017-01-08 00:00:00
33818,2017,1,8,1,31.0,31.0,9.0,12.0,400.0,52.0,1.5,1014.8,-10.7,0.0,WNW,4.4,Dingling,2017-01-08 01:00:00
33819,2017,1,8,2,27.0,27.0,9.0,11.0,500.0,53.0,1.0,1014.8,-10.2,0.0,NNW,2.6,Dingling,2017-01-08 02:00:00
33820,2017,1,8,3,26.0,26.0,9.0,12.0,500.0,50.0,0.8,1014.8,-10.7,0.0,NW,2.8,Dingling,2017-01-08 03:00:00
